iter	Passed	Remaining
128	268817	1815037
129	270719	1811737
130	272143	1805287
131	274072	1802236
132	276049	1799509
133	277245	1791752
134	279081	1788186
135	281162	1786210
136	283239	1784200
137	285242	1781730
138	287192	1778941
139	289223	1776657
140	291392	1775221
141	293337	1772417
142	294666	1765938
143	296471	1762357
144	298509	1760176
145	300425	1757282
146	302498	1755311
147	304489	1752869
148	306579	1750998
149	308603	1748751
150	310546	1746054
151	312554	1743722
152	314422	1740624
153	316456	1738456
154	318538	1736550
155	320665	1734880
156	322670	1732554
157	324750	1730631
158	326824	1728674
159	328206	1723085
160	329256	1715813
161	330959	1712002
162	332880	1709329
163	334867	1707005
164	336797	1704400
165	338920	1702768
166	341021	1701021
167	342997	1698656
168	344931	1696084
169	346922	1693795
170	348939	1691640
171	350984	1689622
172	353107	1687974
173	355137	1685881
174	357182	1683861
175	359231	1681855
176	361364	1680245
177	363467	1678486
178	365474	1676282
179	367466	1674013
180	369496	1671919
181	371435	1669419
182	373518	1667567
183	375456	1665068
184	377382	1662523
185	379371	1660259
186	381249	1657517
187	383215	1655163
188	385203	1652911
189	387150	1650482
190	389128	1648191
191	391238	1646460
192	393147	1643888
193	394575	1639318
194	396423	1636518
195	398366	1634115
196	400245	1631458
197	402268	1629388
198	404296	1627342
199	406285	1625141
200	408187	1622596
201	410291	1620852
202	412260	1618577
203	413844	1614806
204	415779	1612414
205	417758	1610196
206	419648	1607638
207	421610	1605361
208	422756	1600003
209	424715	1597740
210	427232	1597566
211	429594	1596796
212	431976	1596083
213	433544	1592365
214	435399	1589713
215	437397	1587591
216	439318	1585190
217	441444	1583528
218	443431	1581369
219	445481	1579433
220	447360	1576895
221	449320	1574646
222	450496	1569666
223	452259	1566755
224	454253	1564650
225	455462	1559859
226	457327	1557331
227	459334	1555291
228	461350	1553281
229	463342	1551191
230	464823	1547399
231	466705	1544957
232	468727	1542977
233	470710	1540872
234	472637	1538586
235	474542	1536230
236	476559	1534239
237	478601	1532330
238	480596	1530267
239	482579	1528169
240	484520	1525938
241	486021	1522332
242	487791	1519582
243	489718	1517324
244	491650	1515087
245	493775	1513441
246	495695	1511167
247	497770	1509369
248	499786	1507389
249	501803	1505409
250	503756	1503242
251	505706	1501064
252	507722	1499086
253	508915	1494687
254	510250	1490731
255	512164	1488478
256	514177	1486513
257	516167	1484482
258	518075	1482217
259	520239	1480683
260	522327	1478926
261	524402	1477133
262	526487	1475365
263	528447	1473248
264	530512	1471420
265	532041	1468113
266	533509	1464652
267	535341	1462200
268	537295	1460084
269	539196	1457826
270	541121	1455637
271	543026	1453393
272	545069	1451522
273	546923	1449148
274	548968	1447280
275	550961	1445275
276	552923	1443189
277	554785	1440845
278	556829	1438974
279	558852	1437049
280	560888	1435155
281	562805	1432958
282	564789	1430932
283	566653	1428605
284	568688	1426708
285	570625	1424567
286	571713	1420319
287	573511	1417846
288	575570	1416022
289	577373	1413568
290	579510	1411935
291	580450	1407393
292	582134	1404671
293	584069	1402561
294	586080	1400632
295	587961	1398395
296	590040	1396628
297	592011	1394604
298	592959	1390182
299	593539	1384925
300	595207	1382225
301	597135	1380135
302	599133	1378204
303	601054	1376099
304	603028	1374114
305	604389	1370738
306	606194	1368381
307	608132	1366323
308	610104	1364343
309	612001	1362196
310	614031	1360345
311	614766	1355639
312	616455	1353049
313	618429	1351090
314	620372	1349063
315	621439	1345141
316	623237	1342810
317	625122	1340671
318	626560	1337578
319	628344	1335231
320	629824	1332244
321	631642	1329981
322	633513	1327827
323	634533	1323903
324	636430	1321817
325	638327	1319732
326	640267	1317736
327	641629	1314557
328	643383	1312190
329	645197	1309945
330	647150	1307986
331	649033	1305886
332	650876	1303708
333	652907	1301905
334	654842	1299910
335	656828	1298018
336	658847	1296190
337	660683	1294001
338	662602	1291977
339	664612	1290129
340	666641	1288318
341	668636	1286440
342	670574	1284452
343	672503	1282448
344	673655	1278969
345	675509	1276829
346	677580	1275101
347	679589	1273254
348	681605	1271418
349	683593	1269531
350	685494	1267480
351	687381	1265405
352	688873	1262608
353	690684	1260401
354	691613	1256593
355	693332	1254231
356	695242	1252215
357	696767	1249509
358	698609	1247378
359	700499	1245332
360	701575	1241847
361	703344	1239595
362	705307	1237688
363	707243	1235732
364	709238	1233879
365	711294	1232133
366	713212	1230146
367	715092	1228094
368	715695	1223859
369	717421	1221555
370	718839	1218733
371	719855	1215240
372	721705	1213161
373	723712	1211347
374	725585	1209309
375	726695	1206005
376	728399	1203694
377	730269	1201660
378	732244	1199798
379	734143	1197812
380	735155	1194386
381	736628	1191718
382	738521	1189733
383	740514	1187908
384	742529	1186118
385	743511	1182683
386	745211	1180400
387	747186	1178551
388	749045	1176521
389	751043	1174708
390	753027	1172874
391	755065	1171121
392	757051	1169287
393	758967	1167345
394	760862	1165371
395	762879	1163583
396	763860	1160221
397	765621	1158050
398	767543	1156124
399	769475	1154213
400	771408	1152302
401	772934	1149787
402	774738	1147689
403	776679	1145794
404	777322	1141992
405	778028	1138298
406	778589	1134407
407	779735	1131381
408	781103	1128684
409	782959	1126697
410	784856	1124769
411	786747	1122834
412	788574	1120806
413	789820	1117958
414	790987	1115006
415	792284	1112245
416	794024	1110110
417	795951	1108238
418	797443	1105763
419	799316	1103818
420	801245	1101950
421	801979	1098445
422	803609	1096176
423	805474	1094229
424	806604	1091288
425	807054	1087439
426	808715	1085231
427	810634	1083371
428	812534	1081485
429	814452	1079622
430	816513	1077949
431	818518	1076199
432	819445	1073038
433	821425	1071259
434	823378	1069445
435	824345	1066355
436	825935	1064077
437	827843	1062210
438	828837	1059175
439	830420	1056899
440	832325	1055034
441	834369	1053343
442	836366	1051594
443	838345	1049820
444	839502	1047019
445	841211	1044912
446	843168	1043114
447	844623	1040696
448	845638	1037743
449	847396	1035706
450	849349	1033908
451	851302	1032109
452	852433	1029317
453	854265	1027376
454	856264	1025635
455	858273	1023905
456	860084	1021938
457	862045	1020149
458	863440	1017693
459	865266	1015747
460	865976	1012497
461	867592	1010313
462	868300	1007078
463	869909	1004895
464	871422	1002603
465	872235	999514
466	873750	997235
467	875659	995408
468	876256	992094
469	877912	989986
470	879776	988114
471	881155	985699
472	882928	983727
473	884890	981966
474	886781	980127
475	888734	978355
476	890619	976507
477	892094	974211
478	893905	972285
479	895315	969924
480	897165	968043
481	899086	966238
482	901000	964424
483	902965	962665
484	904934	960909
485	906799	959043
486	908831	957352
487	910793	955586
488	911569	952580
489	913100	950369
490	915040	948585
491	916046	945836
492	917707	943767
493	919626	941965
494	921613	940231
495	923610	938507
496	925487	936660
497	927376	934825
498	928057	931777
499	929844	929844
500	931284	927566
501	933095	925660
502	933886	922746
503	935458	920610
504	937462	918898
505	939516	917235
506	940208	914246
507	941276	911630
508	943198	909844
509	945173	908108
510	947102	906327
511	948967	904485
512	950881	902688
513	952869	900962
514	953947	898377
515	955666	896400
516	957589	894614
517	959578	892889
518	961454	891059
519	962649	888599
520	964391	886647
521	966393	884935
522	968438	883260
523	970319	881434
524	972281	879683
525	974413	878083
526	976387	876339
527	977780	874076
528	978354	871086
529	979952	869014
530	980854	866328
531	982362	864183
532	984337	862449
533	986315	860716
534	988197	858900
535	988968	856122
536	990101	853662
537	992051	851910
538	993982	850141
539	995966	848415
540	997800	846562
541	998896	844086
542	1000607	842131
543	1002438	840279
544	1004576	838683
545	1006584	836976
546	1008396	835106
547	1010288	833303
548	1012146	831472
549	1013132	828926
550	1014209	826461
551	1016024	824599
552	1017913	822798
553	1019828	821017
554	1020922	818577
555	1021663	815860
556	1023341	813896
557	1025287	812145
558	1027168	810341
559	1029160	808626
560	1030339	806272
561	1032032	804324
562	1032716	801593
563	1034336	799593
564	1036291	797852
565	1038217	796089
566	1040214	794378
567	1042122	792600
568	1044011	790806
569	1046018	789101
570	1047932	787326
571	1049870	785567
572	1051698	783726
573	1052762	781318
574	1054610	779494
575	1056482	777688
576	1058371	775894
577	1060508	774281
578	1062427	772507
579	1064427	770792
580	1065850	768659
581	1066377	765886
582	1067530	763567
583	1069367	761741
584	1071373	760034
585	1073417	758353
586	1075509	756704
587	1077389	754905
588	1079210	753065
589	1081340	751440
590	1083267	749672
591	1085134	747863
592	1085822	745244
593	1087554	743345
594	1089499	741592
595	1091469	739855
596	1093352	738058
597	1095349	736338
598	1096810	734258
599	1098587	732391
600	1100483	730603
601	1102435	728852
602	1104424	727125
603	1105111	724543
604	1106753	722591
605	1108723	720853
606	1110537	719013
607	1111459	716599
608	1113146	714680
609	1114187	712349
610	1115987	710505
611	1117307	708358
612	1119218	706586
613	1121114	704805
614	1122443	702667
615	1124334	700883
616	1126310	699151
617	1128167	697346
618	1130096	695584
619	1130801	693071
620	1132400	691110
621	1134199	689272
622	1136117	687506
623	1137900	685657
624	1139774	683864
625	1141711	682108
626	1143473	680248
627	1145412	678493
628	1147287	676698
629	1148430	674475
630	1150172	672604
631	1152088	670836
632	1154048	669092
633	1155932	667304
634	1157933	665583
635	1159786	663776
636	1161653	661978
637	1162418	659553
638	1164081	657642
639	1166004	655877
640	1167848	654067
641	1169910	652380
642	1171849	650622
643	1173738	648836
644	1175620	647046
645	1177569	645293
646	1179437	643495
647	1181340	641715
648	1183363	640001
649	1185302	638240
650	1185958	635790
651	1187502	633820
652	1189514	632100
653	1191459	630343
654	1193508	628642
655	1195487	626901
656	1197375	625113
657	1199238	623312
658	1201075	621497
659	1203025	619740
660	1204899	617944
661	1206750	616135
662	1208698	614376
663	1209632	612103
664	1211303	610205
665	1212592	608117
666	1214378	606279
667	1215079	603901
668	1216669	601969
669	1218608	600210
670	1220491	598423
671	1222425	596660
672	1224281	594858
673	1226202	593088
674	1228187	591349
675	1230154	589600
676	1232066	587824
677	1233884	586004
678	1235786	584222
679	1237733	582462
680	1239725	580723
681	1240756	578534
682	1242371	576620
683	1244419	574907
684	1246307	573119
685	1248259	571360
686	1250114	569557
687	1252057	567793
688	1254017	566036
689	1255362	564003
690	1257308	562240
691	1259305	560500
692	1260091	558222
693	1261602	556268
694	1263584	554522
695	1265480	552738
696	1267417	550972
697	1269361	549208
698	1271325	547451
699	1273271	545687
700	1275122	543882
701	1277041	542105
702	1278961	540329
703	1280876	538550
704	1282720	536741
705	1283609	534534
706	1285127	532591
707	1287103	530839
708	1287887	528596
709	1289514	526703
710	1290246	524446
711	1290963	522187
712	1292723	520352
713	1294787	518640
714	1296606	516829
715	1298489	515043
716	1300331	513241
717	1302282	511481
718	1304204	509709
719	1306179	507958
720	1308091	506182
721	1309964	504390
722	1311945	502640
723	1313942	500895
724	1315810	499100
725	1317653	497296
726	1319523	495501
727	1321418	493716
728	1323331	491938
729	1325201	490142
730	1326773	488238
731	1328902	486537
732	1330997	484824
733	1333297	483184
734	1335584	481537
735	1337506	479757
736	1339325	477941
737	1341153	476127
738	1343052	474339
739	1344970	472557
740	1346954	470797
741	1349068	469083
742	1350928	467279
743	1352930	465524
744	1354841	463737
745	1356851	461984
746	1358771	460199
747	1360610	458387
748	1362473	456583
749	1364376	454792
750	1366213	452978
751	1368097	451181
752	1369909	449359
753	1371803	447564
754	1373897	445834
755	1375851	444057
756	1377857	442297
757	1379726	440493
758	1381594	438688
759	1383456	436881
760	1385385	435094
761	1387283	433298
762	1389158	431494
763	1391014	429685
764	1392955	427901
765	1394908	426120
766	1397000	424382
767	1398834	422564
768	1400640	420738
769	1402666	418978
770	1404580	417183
771	1406422	415368
772	1408290	413560
773	1410169	411755
774	1412265	410012
775	1414128	408202
776	1415951	406379
777	1417805	404566
778	1419622	402742
779	1421509	400938
780	1423346	399120
781	1425276	397327
782	1427292	395558
783	1429217	393764
784	1430975	391923
785	1432916	390132
786	1434882	388348
787	1436747	386536
788	1438660	384736
789	1440583	382939
790	1442352	381101
791	1444330	379319
792	1446191	377505
793	1448091	375701
794	1449984	373895
795	1451777	372063
796	1453888	370312
797	1455813	368514
798	1457749	366718
799	1459878	364969
800	1461784	363164
801	1463706	361363
802	1465669	359572
803	1467465	357740
804	1469486	355962
805	1471518	354186
806	1473484	352394
807	1475276	350560
808	1477253	348770
809	1479227	346979
810	1481143	345174
811	1483097	343377
812	1485037	341576
813	1487016	339785
814	1488925	337977
815	1490801	336161
816	1492688	334347
817	1494769	332577
818	1496667	330765
819	1498561	328952
820	1500474	327143
821	1502271	325309
822	1504206	323505
823	1506242	321721
824	1508282	319938
825	1510174	318123
826	1512054	316306
827	1514034	314509
828	1515895	312687
829	1517770	310868
830	1519573	309034
831	1521333	307192
832	1523102	305351
833	1524972	303531
834	1526901	301723
835	1528874	299922
836	1530906	298133
837	1532736	296304
838	1534622	294486
839	1536611	292687
840	1538439	290858
841	1540383	289050
842	1542260	287229
843	1544216	285423
844	1546175	283617
845	1548144	281813
846	1550046	279996
847	1551880	278167
848	1553696	276334
849	1555563	274511
850	1557678	272731
851	1559508	270900
852	1561338	269070
853	1563193	267243
854	1565126	265430
855	1566886	263588
856	1568802	261772
857	1570753	259961
858	1572652	258142
859	1574562	256324
860	1576469	254505
861	1578343	252681
862	1580158	250847
863	1582126	249038
864	1583942	247204
865	1585886	245391
866	1587786	243570
867	1589785	241764
868	1591611	239932
869	1593355	238087
870	1595251	236265
871	1597036	234427
872	1599048	232622
873	1600973	230804
874	1602807	228972
875	1604770	227159
876	1606605	225327
877	1608426	223494
878	1610239	221659
879	1612140	219837
880	1614135	218027
881	1616071	216209
882	1617939	214381
883	1619844	212558
884	1621730	210733
885	1623628	208909
886	1625594	207093
887	1627425	205260
888	1629387	203444
889	1631320	201623
890	1633202	199796
891	1635106	197972
892	1637026	196149
893	1638890	194320
894	1640788	192494
895	1642621	190661
896	1644469	188829
897	1646489	187017
898	1648248	185175
899	1650044	183338
900	1651903	181507
901	1653865	179688
902	1655737	177858
903	1657540	176021
904	1659284	174178
905	1661072	172340
906	1662862	170503
907	1664800	168680
908	1666542	166837
909	1668531	165019
910	1670355	163185
911	1672324	161364
912	1674241	159538
913	1675981	157696
914	1677926	155872
915	1679941	154055
916	1681717	152216
917	1683641	150390
918	1685558	148563
919	1687547	146743
920	1689427	144912
921	1691494	143098
922	1693322	141263
923	1695155	139428
924	1696933	137589
925	1698851	135761
926	1700791	133935
927	1702533	132093
928	1704384	130259
929	1706183	128422
930	1708153	126597
931	1710106	124771
932	1712006	122941
933	1713973	121115
934	1715776	119278
935	1717483	117434
936	1719352	115602
937	1721269	113772
938	1723158	111941
939	1724945	110102
940	1726888	108274
941	1728785	106443
942	1730625	104608
943	1732609	102781
944	1734681	100960
945	1736562	99127
946	1738439	97293
947	1740277	95458
948	1742181	93626
949	1743975	91788
950	1745836	89953
951	1747658	88117
952	1749534	86283
953	1751454	84451
954	1753323	82617
955	1755205	80783
956	1757117	78950
957	1758909	77112
958	1760732	75276
959	1762668	73444
960	1764470	71607
961	1766268	69769
962	1768074	67932
963	1769920	66096
964	1771887	64265
965	1773918	62436
966	1775827	60602
967	1777724	58767
968	1779498	56929
969	1781281	55091
970	1783221	53257
971	1785012	51420
972	1786790	49582
973	1788603	47745
974	1790532	45911
975	1792490	44077
976	1794256	42239
977	1796029	40401
978	1797914	38566
979	1799889	36732
980	1801740	34896
981	1803663	33061
982	1805660	31227
983	1807580	29391
984	1809468	27555
985	1811367	25719
986	1813288	23883
987	1815281	22047
988	1817251	20212
989	1819190	18375
990	1821008	16537
991	1822849	14700
992	1824808	12863
993	1826770	11026
994	1828629	9189
995	1830415	7351
996	1832252	5513
997	1834156	3675
998	1836064	1837
999	1837975	0
