iter	Logloss
0	0.6708480789
1	0.6491884115
2	0.6294125344
3	0.6107169055
4	0.5935276077
5	0.576833705
6	0.5603575148
7	0.5456354256
8	0.5307763412
9	0.5167457068
10	0.5035767978
11	0.4916183557
12	0.4795685367
13	0.4684786228
14	0.458140063
15	0.448280539
16	0.4390543827
17	0.4301338766
18	0.4213018316
19	0.4131846346
20	0.4058599292
21	0.3985323659
22	0.3916686395
23	0.3851812469
24	0.3790166691
25	0.3737024572
26	0.3684727694
27	0.3628948552
28	0.3580128086
29	0.3532308091
30	0.3491102856
31	0.344673089
32	0.3403152165
33	0.3364725317
34	0.332726441
35	0.3294809336
36	0.3259538992
37	0.3230028262
38	0.3197326665
39	0.3167696665
40	0.3139797941
41	0.3113044777
42	0.3088571623
43	0.3063119344
44	0.3038663643
45	0.3017829973
46	0.2998079967
47	0.2976408801
48	0.2959427397
49	0.2940928574
50	0.2922138268
51	0.2904678252
52	0.2887558681
53	0.2869941939
54	0.2855951039
55	0.2842337035
56	0.2828180336
57	0.2816119039
58	0.2803561688
59	0.2791498105
60	0.2781854028
61	0.2770039965
62	0.2759586371
63	0.2749567266
64	0.2739034054
65	0.2728838445
66	0.2720979987
67	0.2712962838
68	0.2705058171
69	0.2697287413
70	0.2688780865
71	0.2680365125
72	0.2673281358
73	0.2666986419
74	0.2659050188
75	0.2652291133
76	0.2646131777
77	0.2640871485
78	0.2634772131
79	0.2628832156
80	0.262325798
81	0.2617208135
82	0.2611603679
83	0.2607829151
84	0.2602338905
85	0.2597543462
86	0.2593068862
87	0.2589345905
88	0.2584791084
89	0.2581145696
90	0.2576757759
91	0.2572759881
92	0.2569414142
93	0.2565674312
94	0.2562551032
95	0.2559270004
96	0.255610197
97	0.2553320086
98	0.2550099705
99	0.2547672417
100	0.2544563419
101	0.2541279967
102	0.2538392312
103	0.2535527636
104	0.2533201821
105	0.2530381288
106	0.2527805883
107	0.2525433944
108	0.2523146628
109	0.2520877704
110	0.2518947562
111	0.2516953246
112	0.2515548866
113	0.2513645768
114	0.2511828645
115	0.2509729439
116	0.2507718888
117	0.25063905
118	0.2504415518
119	0.2503264072
120	0.250191561
121	0.2500479159
122	0.2499053702
123	0.2497995591
124	0.2496251347
125	0.2495192622
126	0.2493922857
127	0.2492830536
128	0.2491852364
129	0.2490569707
130	0.2489648783
131	0.2488664527
132	0.2487494611
133	0.2486441829
134	0.2485416128
135	0.2484223971
136	0.2483195433
137	0.248207338
138	0.2481070227
139	0.2480000756
140	0.2478761617
141	0.2477608696
142	0.2476963837
143	0.2476003767
144	0.2474768765
145	0.2473976788
146	0.2472829647
147	0.2471704684
148	0.24706727
149	0.2469716064
150	0.2469134461
151	0.2468219867
152	0.2467634768
153	0.2466569822
154	0.2465266597
155	0.2464305527
156	0.2463459941
157	0.246249913
158	0.2461555176
159	0.2461140637
160	0.2460587604
161	0.2460078572
162	0.2459443596
163	0.2458808056
164	0.2458185459
165	0.2457298804
166	0.2456752427
167	0.2456272155
168	0.2455784922
169	0.2455069822
170	0.2454390894
171	0.2453790233
172	0.2453103165
173	0.2452516293
174	0.2451689847
175	0.2450972328
176	0.2450221669
177	0.2449404078
178	0.2448645722
179	0.2448112779
180	0.2447480108
181	0.2447098239
182	0.244631546
183	0.2445682081
184	0.2445162437
185	0.2444641298
186	0.2444268016
187	0.2443460148
188	0.2442598507
189	0.2442102479
190	0.2441625884
191	0.2441008235
192	0.2440497793
193	0.2440012218
194	0.2439617087
195	0.2439064093
196	0.2438685497
197	0.2438247374
198	0.2437757929
199	0.2437232183
200	0.2436889635
201	0.243618496
202	0.2435647213
203	0.2435162459
204	0.2434734479
205	0.2434283183
206	0.2433758144
207	0.2433268321
208	0.2433025645
209	0.2432458005
210	0.2431921224
211	0.2431538417
212	0.2431003259
213	0.2430761444
214	0.2430271062
215	0.2429761083
216	0.2429387901
217	0.2428998969
218	0.2428614803
219	0.242791032
220	0.2427617178
221	0.2427388573
222	0.2427065658
223	0.2426718227
224	0.242627541
225	0.242600787
226	0.2425500475
227	0.2424922264
228	0.2424512636
229	0.2424144457
230	0.2423804759
231	0.2423523189
232	0.2423052015
233	0.2422586854
234	0.2422262132
235	0.2421993278
236	0.2421682312
237	0.2421204639
238	0.2420667519
239	0.242026169
240	0.2419996164
241	0.2419628164
242	0.2419307532
243	0.2419050178
244	0.2418794274
245	0.2418242849
246	0.2417877572
247	0.241742277
248	0.2417015391
249	0.241658416
250	0.2416371796
251	0.2415992692
252	0.2415717554
253	0.2415424121
254	0.2415087276
255	0.2414579492
256	0.2414179397
257	0.2413646879
258	0.2413416241
259	0.2412923499
260	0.2412577527
261	0.2412315374
262	0.2411991153
263	0.2411700566
264	0.2411191912
265	0.241084001
266	0.24104117
267	0.2410073573
268	0.2409713944
269	0.2409389068
270	0.2409023726
271	0.2408711986
272	0.240835861
273	0.2408192487
274	0.240778088
275	0.2407455822
276	0.2407163277
277	0.2406888842
278	0.2406490372
279	0.2406221834
280	0.2405779879
281	0.2405515869
282	0.2405242972
283	0.2405026295
284	0.240469231
285	0.2404333843
286	0.240412322
287	0.2403795115
288	0.2403532228
289	0.2403434207
290	0.2402968513
291	0.2402895159
292	0.2402696149
293	0.240245619
294	0.2402129822
295	0.2401933863
296	0.2401661086
297	0.2401391963
298	0.2401266095
299	0.240116119
300	0.2400673797
301	0.240042709
302	0.2399910343
303	0.2399578578
304	0.239931292
305	0.2399180342
306	0.2398835801
307	0.2398576001
308	0.2398266885
309	0.2398082336
310	0.2397764954
311	0.2397713711
312	0.2397372507
313	0.2397164165
314	0.2396975314
315	0.239691942
316	0.2396634457
317	0.2396353431
318	0.2396089115
319	0.2395904801
320	0.23956064
321	0.239530993
322	0.2395140557
323	0.2394990844
324	0.2394708045
325	0.239444473
326	0.2394060402
327	0.2393881688
328	0.2393591605
329	0.2393460236
330	0.2393159856
331	0.2393021286
332	0.2392794318
333	0.2392514532
334	0.2392305271
335	0.2392037847
336	0.2391669992
337	0.2391501326
338	0.2391226859
339	0.2390929391
340	0.2390432528
341	0.2390082946
342	0.2389874958
343	0.2389660037
344	0.2389500628
345	0.2389097539
346	0.2388768031
347	0.2388524686
348	0.2388040193
349	0.2387857752
350	0.2387723223
351	0.2387463892
352	0.2387315359
353	0.23871383
354	0.238705561
355	0.2386827036
356	0.2386570588
357	0.2386356008
358	0.2386036002
359	0.2385856772
360	0.2385798862
361	0.2385542627
362	0.2385243814
363	0.2385092027
364	0.2384906281
365	0.238470243
366	0.2384364737
367	0.2384264158
368	0.2384257595
369	0.2383967662
370	0.2383860901
371	0.23837236
372	0.2383466908
373	0.2383143519
374	0.2382968314
375	0.2382840518
376	0.2382689191
377	0.2382492149
378	0.2382219983
379	0.2382074945
380	0.2381952106
381	0.2381742058
382	0.2381534871
383	0.2381321782
384	0.2381003346
385	0.2380878973
386	0.2380685949
387	0.2380487074
388	0.2380443142
389	0.2380256763
390	0.2379939576
391	0.2379756367
392	0.2379580919
393	0.2379410338
394	0.2379235721
395	0.2378963499
396	0.2378874246
397	0.2378693497
398	0.2378479252
399	0.2378290365
400	0.2378106274
401	0.2377866206
402	0.2377618914
403	0.2377361606
404	0.2377351654
405	0.2377266136
406	0.2377230094
407	0.2377036759
408	0.2376842107
409	0.2376617419
410	0.2376483718
411	0.2376298439
412	0.2376224296
413	0.2376002135
414	0.2375905683
415	0.2375777627
416	0.2375550681
417	0.2375373947
418	0.2375156499
419	0.237490289
420	0.2374627222
421	0.2374587951
422	0.2374403235
423	0.2374238438
424	0.2374176488
425	0.2374173574
426	0.2373892544
427	0.2373737855
428	0.2373586709
429	0.2373375211
430	0.2373106268
431	0.2372942187
432	0.2372858999
433	0.2372677919
434	0.2372551892
435	0.2372493705
436	0.2372324126
437	0.2372168633
438	0.2372080839
439	0.2371900444
440	0.237165144
441	0.2371418779
442	0.2371245704
443	0.2371071933
444	0.2370972894
445	0.2370851642
446	0.237068932
447	0.2370502632
448	0.2370409136
449	0.2370286382
450	0.2370026548
451	0.2369844248
452	0.2369746337
453	0.2369609612
454	0.2369364142
455	0.2369161933
456	0.2369062987
457	0.2368938022
458	0.2368825133
459	0.2368710662
460	0.2368703494
461	0.2368575288
462	0.236856528
463	0.2368323514
464	0.2368144833
465	0.236812545
466	0.2367979537
467	0.2367822754
468	0.236781771
469	0.2367589548
470	0.2367445062
471	0.2367392244
472	0.2367242062
473	0.2367162898
474	0.2367002311
475	0.2366810123
476	0.2366702825
477	0.2366435836
478	0.236631949
479	0.2366188411
480	0.2366015036
481	0.2365757551
482	0.236555535
483	0.2365433536
484	0.2365163535
485	0.2364951295
486	0.2364778246
487	0.2364594169
488	0.2364588869
489	0.2364402919
490	0.2364258845
491	0.2364210025
492	0.2364107863
493	0.2364023049
494	0.2363808478
495	0.2363585896
496	0.2363481481
497	0.2363178653
498	0.2363175458
499	0.2362868808
500	0.2362732168
501	0.2362638483
502	0.2362589332
503	0.2362275648
504	0.2362003875
505	0.236169974
506	0.2361698159
507	0.2361592254
508	0.236127654
509	0.2361119785
510	0.2360941334
511	0.2360863439
512	0.2360720978
513	0.2360475648
514	0.2360395165
515	0.2360266857
516	0.2360138943
517	0.2359942801
518	0.2359830641
519	0.2359692325
520	0.2359664899
521	0.2359563626
522	0.2359315071
523	0.2359231629
524	0.2359066605
525	0.2358835581
526	0.2358616794
527	0.2358489284
528	0.2358484608
529	0.2358256997
530	0.235822165
531	0.2358097247
532	0.2357907033
533	0.2357792005
534	0.2357716768
535	0.2357687073
536	0.2357502304
537	0.2357258326
538	0.2357201249
539	0.2356941957
540	0.2356877978
541	0.2356847071
542	0.2356717051
543	0.2356627181
544	0.2356369708
545	0.2356124163
546	0.2356093823
547	0.2355951871
548	0.2355802757
549	0.2355747333
550	0.2355598559
551	0.2355491201
552	0.2355411644
553	0.235529243
554	0.2355210638
555	0.2355146209
556	0.2354868512
557	0.2354681896
558	0.2354573476
559	0.2354415947
560	0.2354248034
561	0.2354157877
562	0.235415547
563	0.2353924835
564	0.2353727622
565	0.2353475758
566	0.2353319469
567	0.2353262665
568	0.2353115764
569	0.2352969939
570	0.2352780635
571	0.2352620423
572	0.2352502341
573	0.2352483714
574	0.2352295482
575	0.2352203925
576	0.2351972142
577	0.2351661328
578	0.2351414591
579	0.2351206295
580	0.2351151469
581	0.235115118
582	0.2351036554
583	0.2350869089
584	0.2350730971
585	0.2350532153
586	0.2350296726
587	0.2350177949
588	0.2350089274
589	0.2349775717
590	0.2349609161
591	0.2349478381
592	0.2349473065
593	0.2349234909
594	0.234909852
595	0.2348866117
596	0.2348790704
597	0.234862793
598	0.234849084
599	0.2348372081
600	0.2348276624
601	0.2348151877
602	0.2348005024
603	0.2348003175
604	0.2347856652
605	0.2347659768
606	0.2347618595
607	0.2347595775
608	0.2347504885
609	0.2347486822
610	0.2347310165
611	0.2347275057
612	0.2347093069
613	0.2346835255
614	0.2346789137
615	0.2346533059
616	0.2346238972
617	0.2346125012
618	0.2345977744
619	0.2345969524
620	0.234579654
621	0.2345750126
622	0.2345603098
623	0.234555979
624	0.2345457929
625	0.2345278796
626	0.2345260367
627	0.2345190859
628	0.2345089639
629	0.2345011704
630	0.234480944
631	0.2344634179
632	0.2344460928
633	0.2344068573
634	0.2343940002
635	0.2343841004
636	0.2343732078
637	0.2343729378
638	0.2343509166
639	0.2343410327
640	0.2343257065
641	0.2343104172
642	0.2342931327
643	0.2342820582
644	0.2342680402
645	0.2342523037
646	0.2342407988
647	0.2342263867
648	0.2342045856
649	0.2341934681
650	0.2341933783
651	0.2341779391
652	0.2341514346
653	0.2341335944
654	0.2340976405
655	0.2340775377
656	0.2340654409
657	0.2340542109
658	0.2340443403
659	0.2340231209
660	0.2340105439
661	0.2340046328
662	0.2339971263
663	0.2339952846
664	0.2339863283
665	0.2339858813
666	0.2339746219
667	0.2339745024
668	0.2339580773
669	0.2339400198
670	0.2339350355
671	0.2339172299
672	0.2339004136
673	0.233879752
674	0.2338680277
675	0.2338545482
676	0.2338449144
677	0.2338330152
678	0.2338179601
679	0.2338052392
680	0.2337941108
681	0.2337933106
682	0.2337846501
683	0.2337661383
684	0.2337558482
685	0.2337404733
686	0.2337340709
687	0.2337231114
688	0.2337069778
689	0.2337057003
690	0.2336671935
691	0.2336558124
692	0.2336548013
693	0.2336386137
694	0.2336218291
695	0.233604642
696	0.2335845839
697	0.2335555674
698	0.2335417622
699	0.2335233017
700	0.2335172374
701	0.233505409
702	0.2334894903
703	0.2334781722
704	0.233457853
705	0.2334576023
706	0.2334457085
707	0.2334305966
708	0.233430453
709	0.2334105002
710	0.2334104317
711	0.2334093289
712	0.2333932365
713	0.23337249
714	0.2333625423
715	0.233353508
716	0.2333421708
717	0.2333275008
718	0.2333099716
719	0.2332962066
720	0.2332927404
721	0.2332859198
722	0.2332660908
723	0.2332440671
724	0.2332295664
725	0.2332242323
726	0.2332051244
727	0.2331880948
728	0.2331708682
729	0.2331627481
730	0.2331621852
731	0.2331381238
732	0.233136999
733	0.2331249973
734	0.233113219
735	0.2330996757
736	0.2330946558
737	0.2330929418
738	0.2330749094
739	0.2330643448
740	0.2330433967
741	0.2330243364
742	0.2330183731
743	0.2329981352
744	0.2329826174
745	0.2329640444
746	0.2329502373
747	0.2329389224
748	0.2329291345
749	0.2329161403
750	0.2329065647
751	0.2329038795
752	0.2329010932
753	0.2328919692
754	0.2328769972
755	0.2328580204
756	0.2328381446
757	0.2328268324
758	0.2328191669
759	0.2328081069
760	0.2327969167
761	0.2327868182
762	0.2327807048
763	0.2327726703
764	0.2327541367
765	0.232736089
766	0.2327053745
767	0.2327036503
768	0.2327021384
769	0.2326751924
770	0.2326731073
771	0.2326717638
772	0.2326633147
773	0.232651227
774	0.232624337
775	0.2326166889
776	0.232611064
777	0.232597374
778	0.2325952942
779	0.2325796011
780	0.2325672278
781	0.2325510398
782	0.2325328021
783	0.2325218665
784	0.2325203629
785	0.2325057847
786	0.2324937346
787	0.2324902962
788	0.232478215
789	0.232466022
790	0.2324638598
791	0.2324522993
792	0.2324496046
793	0.2324261345
794	0.2324212263
795	0.2324206726
796	0.2323955505
797	0.2323764415
798	0.2323634198
799	0.2323415479
800	0.2323369792
801	0.2323195546
802	0.2323020266
803	0.232301177
804	0.2322735432
805	0.2322489235
806	0.2322338063
807	0.2322311473
808	0.2322122061
809	0.2321916374
810	0.2321819455
811	0.2321610127
